image,user,x,y,w,h,class,volInImg
0000001-X-20061214-141834-X0000001C-3,chrispsimmons,0.5218437936,0.2113432512,0.0917528302,0.0452021801,1,4
0000001-X-20061214-141834-X0000001C-3,chrispsimmons,0.2719811706,0.2097664401,0.0540686533,0.0357412644,1,4
0000001-X-20061214-141834-X0000001C-3,chrispsimmons,0.5349513709,0.3653460723,0.0311304553,0.0252291003,1,4
0000001-X-20061214-141834-X0000001C-3,chrispsimmons,0.4829307628,0.3842679405,0.0532494046,0.0336388168,1,4
0000001-X-20061214-141834-X0000001C-3,chrispsimmons,0.6082716987,0.3054268945,0.0532493663,0.0357412644,1,4
0000001-X-20061214-141834-X0000001C-3,chrispsimmons,0.4534388049,0.1377582811,0.0253958675,0.0241779380,1,4
0000001-X-20061214-141834-X0000001C-3,chrispsimmons,0.7381183875,0.2518149857,0.0524302324,0.0441509808,1,4
0000001-X-20061214-141834-X0000001C-3,chrispsimmons,0.1257500771,0.5345914907,0.0892951702,0.0546630958,1,4
0000001-X-20061214-141834-X0000001C-3,Alanah.Quarta,0.0419592890,0.3415553491,0.0245486532,0.0891013847,1,4
0000001-X-20061214-141834-X0000001C-3,Alanah.Quarta,0.9232562313,0.2299536278,0.0238473348,0.0819013355,1,4
0000001-X-20061214-141834-X0000001C-3,Alanah.Quarta,0.4522726125,0.1417522170,0.0287570104,0.0387005979,1,4
0000001-X-20061214-141834-X0000001C-3,Alanah.Quarta,0.2755222620,0.2097032874,0.0343681120,0.0252004119,1,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.2959592048,0.5929616251,0.0944244863,0.1001563345,0,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.0982119904,0.6468822820,0.0590740240,0.1288557229,0,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.4559913564,0.5162742412,0.0819456860,0.1074902265,0,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.2587087984,0.1235325691,0.0573237978,0.0592073853,0,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.4214850447,0.0602971965,0.0488772975,0.0646796161,0,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.0930877996,0.1584428648,0.0446746683,0.0689129757,0,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.1825042438,0.4687201944,0.0389438354,0.0320847527,1,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.6594822994,0.3127782550,0.0208891005,0.0486935579,1,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.4551188023,0.1425959310,0.0250607673,0.0461628209,1,4
