               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074261,             0.39405,            0.021786,                   0,                   0,                   0,                   0,            0.069886,            0.079789,            0.027191,             0.00115,             0.00115,             0.08965
                   1,            0.073052,             0.39363,            0.021589,           0.0018913,             0.12333,           0.0010754,            0.000239,            0.080219,            0.079187,            0.028927,           0.0023099,           0.0023099,             0.07921
                   2,            0.072574,             0.39633,            0.021551,            0.003283,           0.0018519,          0.00065332,          0.00012875,            0.075352,             0.10698,            0.029045,           0.0034697,           0.0034697,             0.06877
                   3,            0.071802,             0.39367,            0.021525,            0.001096,            0.040174,          0.00057153,          0.00011336,              0.0723,            0.093733,            0.028086,            0.004629,            0.004629,            0.058329
                   4,            0.071428,             0.39273,            0.021529,           0.0017397,            0.058117,           0.0009177,          0.00019014,             0.07219,            0.092762,            0.027945,           0.0057877,           0.0057877,            0.047888
                   5,            0.071007,             0.39255,            0.021513,           0.0012492,              0.0274,          0.00064384,          0.00013785,            0.070592,            0.091765,            0.027571,           0.0069457,           0.0069457,            0.037446
                   6,             0.07059,              0.3924,            0.021509,           0.0018872,            0.046996,          0.00099454,          0.00021034,            0.070497,            0.090373,             0.02749,           0.0081028,           0.0081028,            0.027003
                   7,            0.070396,             0.39247,            0.021497,           0.0013001,            0.022033,          0.00067579,          0.00014189,             0.07062,            0.085513,            0.027369,           0.0092588,           0.0092588,            0.016559
                   8,            0.070255,             0.39241,            0.021499,           0.0023055,            0.053185,           0.0012235,          0.00031331,            0.070657,            0.089289,            0.027396,           0.0099842,           0.0099842,           0.0099842
                   9,            0.069851,             0.39116,            0.021451,           0.0069143,            0.029488,           0.0018717,          0.00035624,            0.069915,            0.082593,            0.027196,           0.0099842,           0.0099842,           0.0099842
                  10,            0.069487,                0.39,            0.021398,           0.0024883,            0.072639,           0.0011977,          0.00027377,             0.07093,            0.093013,            0.027439,             0.00998,             0.00998,             0.00998
                  11,            0.069355,             0.38978,            0.021363,           0.0025817,            0.036565,           0.0012333,          0.00027124,            0.071965,            0.091992,            0.027186,           0.0099753,           0.0099753,           0.0099753
                  12,            0.068637,             0.38825,            0.021294,            0.002545,            0.041488,           0.0010397,          0.00024005,            0.071646,            0.091347,            0.027231,           0.0099702,           0.0099702,           0.0099702
