               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086643,            0.037719,            0.024061,             0.53505,            0.023726,            0.014504,           0.0033539,            0.079548,            0.072164,            0.021547,            0.003326,            0.003326,            0.070066
                   1,            0.079423,            0.034079,             0.01342,            0.043053,            0.098125,            0.030274,            0.008159,            0.075603,            0.071573,            0.018408,           0.0066592,           0.0066592,            0.040066
                   2,            0.075703,            0.033591,            0.010423,             0.18798,             0.20177,             0.15616,            0.045045,            0.070236,            0.066419,            0.018551,           0.0099917,           0.0099917,            0.010065
                   3,            0.072965,            0.033576,           0.0090318,             0.16725,              0.2216,             0.13477,            0.032847,             0.07274,            0.067626,            0.023197,           0.0099978,           0.0099978,           0.0099978
                   4,            0.070652,            0.033648,           0.0077435,             0.19017,             0.23611,             0.13539,            0.030187,            0.068837,            0.064593,            0.012606,           0.0099978,           0.0099978,           0.0099978
                   5,            0.068559,            0.033625,           0.0065141,              0.1886,             0.21473,             0.13867,            0.031943,            0.069562,            0.060909,            0.010086,           0.0099961,           0.0099961,           0.0099961
                   6,            0.066461,            0.033678,           0.0055531,             0.24083,             0.25598,             0.18857,            0.047804,            0.069047,            0.062016,            0.011205,           0.0099938,           0.0099938,           0.0099938
                   7,            0.064695,            0.033621,           0.0046893,             0.20519,              0.2686,             0.16939,            0.041376,             0.06843,            0.061332,            0.011378,           0.0099911,           0.0099911,           0.0099911
                   8,            0.062875,            0.033522,           0.0041176,             0.11536,              0.1283,            0.069952,            0.016307,            0.074851,            0.075493,            0.021468,           0.0099879,           0.0099879,           0.0099879
                   9,            0.060921,            0.033183,           0.0033855,              0.1588,             0.20637,             0.13236,            0.030168,            0.072222,            0.065249,             0.01469,           0.0099842,           0.0099842,           0.0099842
                  10,            0.058467,            0.032624,           0.0028971,             0.18901,              0.2161,             0.13814,            0.032546,            0.070872,            0.063129,            0.012401,             0.00998,             0.00998,             0.00998
                  11,            0.056644,            0.032122,           0.0026099,             0.15434,             0.16145,             0.10786,            0.026967,            0.073207,            0.068342,            0.013422,           0.0099753,           0.0099753,           0.0099753
                  12,              0.0544,            0.031417,           0.0022568,             0.17231,             0.19527,              0.1276,            0.030998,            0.071837,            0.067794,           0.0093041,           0.0099702,           0.0099702,           0.0099702
                  13,            0.052368,            0.030656,            0.001978,             0.17736,             0.16547,             0.12596,            0.031207,            0.071279,            0.070063,            0.011721,           0.0099645,           0.0099645,           0.0099645
                  14,            0.050596,            0.030151,           0.0019327,             0.13954,              0.1487,            0.090704,            0.023396,            0.077744,            0.077246,            0.017651,           0.0099584,           0.0099584,           0.0099584
                  15,            0.048856,            0.029565,           0.0016998,             0.11481,             0.14844,            0.083717,            0.020369,            0.075449,             0.07985,            0.012396,           0.0099517,           0.0099517,           0.0099517
                  16,            0.047091,            0.029147,           0.0015729,             0.12049,             0.17459,            0.091988,             0.02315,            0.077231,             0.07614,            0.016048,           0.0099446,           0.0099446,           0.0099446
                  17,            0.045485,            0.028653,           0.0014403,             0.11259,             0.19242,            0.098365,            0.025809,            0.076272,            0.072038,            0.012508,            0.009937,            0.009937,            0.009937
                  18,            0.044041,            0.028285,           0.0013705,             0.13498,             0.14735,            0.088869,            0.023608,            0.078548,            0.079795,            0.016416,           0.0099289,           0.0099289,           0.0099289
                  19,            0.043023,            0.027981,           0.0013149,             0.12519,             0.15853,            0.086821,            0.021931,            0.078543,            0.080842,            0.010941,           0.0099203,           0.0099203,           0.0099203
                  20,            0.041862,            0.027706,           0.0012362,             0.14983,               0.136,             0.10322,            0.026182,            0.080893,             0.08305,             0.01378,           0.0099112,           0.0099112,           0.0099112
                  21,              0.0409,            0.027524,           0.0011956,              0.1254,             0.12848,            0.081878,            0.019476,            0.079074,            0.083799,            0.014216,           0.0099017,           0.0099017,           0.0099017
                  22,            0.040293,            0.027287,           0.0011985,             0.10293,              0.1232,            0.070563,            0.018763,            0.077498,            0.097808,            0.017238,           0.0098916,           0.0098916,           0.0098916
                  23,            0.039575,            0.027151,           0.0011676,             0.10682,             0.13832,            0.074236,             0.01911,            0.081846,            0.088375,            0.017938,           0.0098811,           0.0098811,           0.0098811
                  24,            0.038812,            0.027021,           0.0011237,              0.1014,             0.12323,              0.0688,            0.018144,            0.080377,             0.09743,            0.022978,           0.0098701,           0.0098701,           0.0098701
                  25,            0.038237,            0.026864,           0.0011482,              0.1089,             0.11125,            0.076692,            0.021748,            0.083696,            0.097061,            0.022953,           0.0098586,           0.0098586,           0.0098586
                  26,             0.03741,            0.026703,             0.00112,             0.11757,            0.096957,            0.072926,            0.019398,            0.081975,            0.097008,             0.01771,           0.0098467,           0.0098467,           0.0098467
                  27,            0.036719,            0.026581,           0.0010808,            0.075735,            0.098116,            0.051158,            0.012901,            0.086072,            0.088914,            0.015315,           0.0098342,           0.0098342,           0.0098342
                  28,            0.036546,            0.026457,           0.0010566,             0.11475,            0.091823,            0.073393,            0.018969,            0.081804,             0.10481,            0.016272,           0.0098213,           0.0098213,           0.0098213
                  29,            0.036039,            0.026254,           0.0010619,            0.095507,             0.06633,            0.057928,            0.015465,            0.086079,            0.098777,            0.023545,           0.0098079,           0.0098079,           0.0098079
                  30,            0.035349,            0.026141,            0.001065,             0.12378,             0.09015,            0.077703,            0.020848,            0.082332,              0.1066,            0.023685,           0.0097941,           0.0097941,           0.0097941
                  31,            0.035015,            0.026018,           0.0010744,             0.12553,            0.074295,            0.080761,            0.022174,            0.084449,             0.10417,            0.029579,           0.0097798,           0.0097798,           0.0097798
                  32,              0.0347,            0.025902,           0.0010718,             0.11161,            0.074333,            0.072652,            0.019413,            0.083652,             0.10387,            0.048564,            0.009765,            0.009765,            0.009765
                  33,            0.034068,            0.025726,           0.0010482,             0.14025,              0.1032,             0.09612,            0.026763,            0.083893,             0.10519,            0.024938,           0.0097497,           0.0097497,           0.0097497
                  34,            0.034125,            0.025684,            0.001067,             0.14092,            0.060727,            0.085774,            0.023952,            0.086252,             0.11221,            0.024593,            0.009734,            0.009734,            0.009734
                  35,             0.03413,            0.025653,           0.0010994,             0.13154,            0.071168,            0.078443,            0.021547,            0.080236,             0.11804,            0.018173,           0.0097178,           0.0097178,           0.0097178
                  36,            0.033825,            0.025667,            0.001085,             0.17051,            0.080938,             0.10787,            0.031852,              0.0845,             0.11258,            0.020949,           0.0097011,           0.0097011,           0.0097011
                  37,            0.033731,            0.025595,            0.001077,             0.15379,            0.065461,            0.093572,            0.028226,            0.086046,             0.11346,            0.021346,            0.009684,            0.009684,            0.009684
                  38,            0.033277,              0.0255,           0.0010989,             0.15192,             0.05126,            0.087583,            0.024794,             0.08417,             0.11781,            0.026389,           0.0096664,           0.0096664,           0.0096664
